"DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_NM","DST_RSK_DSTRCT_GRD_CD","DST_RSK_DSTRCT_TYPE_CD","DST_RSK_DSTRCTCD","DST_RSK_DSTRCT_RGN_CD","DST_RSK_DSTRCT_HONU","MAO_CD","MAOF_NM","FCLT_NM","FCLTY_GRD_CD","FCLTY_GRD_NM","DST_WASY_CD","WASY_NM","DSGN_YMD","DSGN_RSN","RMV_YMD","RMV_RSN","DAM_INTV","DAM_DAY_RNFL","DAM_HR_RNFL","RSK_FACTR_CN","PRPL_MTTR_CD","WRTR_NM","WRTR_OGDP_JBGD_CN","IDFR_NM","IDFR_OGDP_JBGD_CN","FCLT_MNG_INST_NM","FCLT_MNG_INST_TELNO","MNG_REPE_NM","MNG_RBPRSN_OGDP_JBGD_CN","MNG_RBPRSN_OFC_TELNO","MNG_RBPRSN_HOME_TELNO","MNG_RBPRSN_MBL_TELNO","MNG_CTZN_NM","MNG_CTZN_JBGD_NM","MNG_CTZN_OFC_TELNO","MNG_CTZN_HOME_TELNO","MNG_CTZN_MBL_TELNO","COPL_RMRK","LAST_MDFCN_DT","LAST_MDFR_ID","APLY_YN","DSGN_AREA","APLY_YR","APLY_YMD","CNSLTN_YMD","IDNTY_YMD","RSLT_NTFCTN_YMD","DSGN_YR","ANCMNT_YMD","MPL_IDFR_NM","RSLT_SPTR","MPL_IDFR_CN","HAB_NOHO","HAB_NOPE_CNT","BSC_PLAN_NM","FNDG_YMD","ACT_LMT_MUOR_SPTR","ENCT_YMD","DCSD_CNT","INJPSN_CNT","DAM_HSTRY_IDX","CST_BNTS_VL","PLCY_VL","CNTNC_VL","PREP_VL","BSC_PLAN_YN","MTN_ADDR_YN","MNLNO","SUBLOTNO","DADDR","ROAD_NM_CD","RONA_DADDR","STDG_CD","USE_YN","RSTR_PLAN_VER_VL","FCLT_SE_CD","FCLT_GRD_CD","ATCH_FILE_ID_1","ATCH_FILE_ID_2","ATCH_FILE_ID_3","ATCH_FILE_ID_4","ATCH_FILE_ID_5","LINK_STTS","LINK_PRCS_TYPE","LINK_PRCS_HR","LINK_MSG_ID","LINKLOG","LINK_TRNS_ID","MAO_CD_BKUP","TMPR_COL_BKUP","STDG_CD_BKUP"
"427502005001","덕포지구","2","002","null","5175025000","null","001","행정안전부","계족산","016","사유림","1","한강","20051125","집중호우시 붕괴우려","20090821","정비사업 완료에 따른 해제","10","300","40","붕괴","4","신승수","안전건설과 시설6급","김현경","안전건설과 시설5급","영월군","033-370-2494","조원혁","안전건설과 시설6급","033-370-2638","null","010-6380-4460","전제규","영월읍 덕포리","null","null","null","null","2020/08/27 15:12:02.000000000","n18010290997","0","9000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","1","80","1","null","null"," [지점번호:라사86920935]","5175025024","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_200827152010001010_37990","035","4275025000","4275025024"
"441802021013","대창1지구","1","001","null","4418000000","null","null","null","대창1지구","013","지방2급하천","19","기타","20250501","하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('24년 5월 지정 예정)","null","null","null","null","null","하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('25년 5월 지정 예정)","1","조안식","보령시 안전총괄과 시설7","김호","보령시 안전총괄과 행정5","보령시청","041-930-3271","심우창","보령시 안전총괄과 시설6","null","null","01088002183","null","null","null","null","null","null","2024/04/12 16:47:58.000000000","n24010509235","0","452600","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","928","null","null","null","null","4418025021","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_240412165510004010_91284","null","null","null"
"441802021012","남포천지구","3","001","null","4418000000","null","null","null","남포천지구","013","지방2급하천","19","기타","20240515","하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('24년 5월 지정 예정)","null","null","null","null","null","하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('23년 5월 지정 예정)","1","조안식","보령시 안전총괄과 시설7","김호","보령시 안전총괄과 행정5","보령시청","041-930-3271","조안식","보령시 안전총괄과 시설7 ","041-930-3271","null","01088002183","null","null","null","null","null","null","2024/04/12 16:49:21.000000000","n24010509235","0","302570","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","1395","0","null","null","null","4418036026","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_240412165510004010_91284","null","null","null"
"441502006006","정안지구","2","001","하천제방","4415037000","null","null","null","정안천","013","지방2급하천","3","금강","20060302","하천범람(외수)","null","null","5","180","0","집중호우시 하천범람으로 주변농경지 침수","1","권용덕","시민안전과 시설7","오현규","시민안전과 시설5","시민안전과","041-840-8648","송은실","정안면 시설7","041-840-2827","null","010-4124-9275","박승규","대산2리장","null","null","010-4416-1006","null","2022/09/02 17:07:24.000000000","n19070340749","0","40300","2006","20060302","null","null","null","null","null","null","null","null","0","0","정안천 하천기본계획","20130923","02","20110915","0","0","0","0","null","null","null","N","0","240","null","null","null","null","4415037038","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_220902171510004010_93286","038","4415037000","4415037038"
"441502013010","금강지구","2","001","null","4415056000","null","null","null","금강","011","국가하천","-1","null","19961119","침수위험 해소","20001217","정비완료","0","0","0","침수 위험","4","배상근","시민안전과 시설7","오현규","시민안전과 시설5","시민안전과","041-840-8666","박형준","옥룡동 행정9","041-840-2862","null","010-8384-1132","박길수","옥룡2통장","null","null","010-4167-4862","null","2022/09/02 17:04:38.000000000","n19070340749","0","1400000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","250","null","null","null","null","4415010900","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_220902171010002010_89799","035","4415056000","4415010900"
"441502013011","내흥지구","1","001","null","4415033000","null","null","null","내흥지구","013","지방2급하천","-1","null","19971230","침수위험","19980502","정비완료","null","null","null","침수위험","4","배상근","시민안전과 시설7","오현규","시민안전과 시설5","시민안전과","041-840-8666","이광성","계룡면 시설9","041-840-8865","null","010-7407-2260","이용관","내흥2리장","null","null","010-7141-9250","null","2022/09/02 17:03:41.000000000","n19070340749","0","1000000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","124","null","null","null"," [지점번호:다바72272434]","4415033025","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_220902171010002010_89799","035","4415033000","4415033025"
"441502013012","사곡지구","1","001","null","4415039000","null","null","null","사곡지구","012","지방1급하천","3","금강","19960501","침수위험","19970509","정비완료","0","0","0","침수위험","4","배상근","시민안전과 시설7","오현규","시민안전과 시설5","시민안전과","041-840-8666","조정후","사곡면 시설8","041-840-2876","null","010-2489-2292","조기태","호계2리장","null","null","010-3411-7584","null","2022/09/02 17:00:38.000000000","n19070340749","0","500000","null","19960501","null","null","null","null","null","null","null","null","20","30","null","null","02","20110915","0","0","0","0","null","null","null","N","0","214","null","null","null","null","4415039021","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_220902171010002010_89799","038","4415039000","4415039021"
"441502013013","계실지구","2","001","하천제방","4415000000","null","null","null","계실천","012","지방1급하천","3","금강","20140102","하천 통수단면 부족","null","null","2","150","17","하천통수단면 부족으로 인한 침수피해","4","배상근","시민안전과 시설7","오현규","시민안전과 시설5","시민안전과","041-840-8666","조정후","사곡면 시설8","041-840-2876","null","010-2489-2292","조항권","계실리장","null","null","010-7262-0841","null","2022/09/02 17:02:16.000000000","n19070340749","0","36195","2017","20170828","null","null","null","null","null","null","null","null","42","160","계실천 하천기본계획","20071220","02","20110915","0","0","0","0","null","null","null","N","0","133","4","null","null","충청남도 공주시 사곡면 계실양촌길  21-1   ","4415039024","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_220902171010002010_89799","038","4415039000","4415039024"
"472102004001","문정지구","1","001","null","4721000000","null","null","null","문정지구","-1","null","2","낙동강","20030129","재해위험지구지정관리(L =600m)","20070807","재해위험지구 정비완료
(하폭 B=120m → B=180m 확장)
- 서천협소구간 확장공사(준공일 : '06. 11. 3.)","0","200","80","-하천협소(병목)구간으로 ""하천개수""가 필요한 외수 침수지구
-집중호우시 지방2급하천 서천의 수위상승으로 영주시가지 침수","4","조윤현","영주시청 건설과 토목7급","권영박","영주시청 건설과 토목5급","null","null","김일훈","가흥1동사무소 행정7급","null","null","null","박의웅","가흥 문정동 199","null","null","null","null","2023/06/02 10:08:19.000000000","n18020293822","0","60000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","706","0","null","4721010600107060000000001     ","null","4721010600","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602101510010010_54013","001","4721062000","4721010500"
"472102004002","동막지구","1","001","내수침수","4721000000","null","null","null","내성천","010","지방관리","2","낙동강","20010112","재해위험지구 지정관리(펌프장 1동)","20030320","정비완료(2002. 12. 31.)","0","200","80","- ""배수펌프장 설치""가 필요한 내수 침수지구
- 침수판단기준 : 강우량 200mm 이상, 홍수위 3.0m 이상
- 호우시 지방2급하천 내성천의 수위상승으로 인근 소하천에 위치한 주택(24동) 내수배제 불가","4","황규원","영주시청 건설과 토목8급","홍성관","영주시청 건설과 토목5급","null","null","null","null","null","null","null","null","null","null","null","null","null","2023/06/02 10:34:25.000000000","n18020293822","0","60000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","469","0","null","null","null","4721032021","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602104010002010_62977","001","4721032000","4721032000"
"472102004003","금광지구","1","001","상습침수","4721000000","금광1리","null","null","내성천","010","지방관리","2","낙동강","19990802","재해위험지구","20030320","정비완료(2002. 12. 31.)
- 영주댐구역 편입(수몰)","0","227","86","- ""배수펌프장 설치""가 필요한 내수 침수지구
- 침수판단기준 : 강우량 200mm 이상, 홍수위 3.0m 이상
- 호우시 지방2급하천 내성천의 수위상승으로 인근 소하천에 위치한 주택(24동) 내수배제 불가","4","이영희","영주시 건설과","홍성관","영주시 건설과","null","null","null","null","null","null","null","null","null","null","null","null","null","2023/06/02 10:27:09.000000000","n18020293822","0","60000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","1295","0","null","null","null","4721032025","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602103510014010_19863","001","4721032000","4721032000"
"462302015017","진월 외망지구","2","001","null","4623035000","null","001","행정안전부","진월 외망지구","050","기타","-1","null","20151014","침수위험","20171025","null","0","0","0","침수위험","4","최종배","안전총괄과","박형운","안전총괄과장","null","null","최상민","진월면사무소","null","null","null","김종기","외망마을이장","null","null","null","null","2018/10/31 21:06:49.000000000","n18010291460","0","38130","2015","20151014","null","null","null","null","null","null","null","null","0","0","null","20151014","00","20111228","0","0","0","0","null","null","null","N","0","4","54","null","null","전라남도 광양시 진월면 망덕길  356    ","4623035021","Y","null","null","null","null","null","null","null","null","N","I","null","null","null","null","038","4623035000","4623035021"
"462302015019","태인 궁기지구","1","001","null","4623057000","null","001","행정안전부","태인 궁기지구","050","기타","-1","null","20151014","침수위험지구","20181101","null","0","0","0","침수위험","4","김낙균","안전총괄과","박형운","안전총괄과장","null","null","이승재","태인동사무소","null","null","null","null","null","null","null","null","null","2018/10/31 21:02:01.000000000","n18010291460","0","200000","2015","20151014","null","null","null","null","null","null","null","null","0","0","null","20151014","00","20111228","0","0","0","0","null","null","null","N","0","896","161","null","null","전라남도 광양시  김시식지길  15   (태인동)","4623010900","Y","null","null","null","null","null","null","null","null","N","I","null","null","null","null","038","4623057000","4623010900"
"461502014004","용촌 자연재해위험","1","001","null","4615035000","마을회관","005","국토교통부","용촌 자연재해위험개선 지구","010","지방관리","5","섬진강","20141211","재해예방 개선사업을 위한 지구지정","null","null","2","150","30","호남고속도로 BOX2교 통수단면 부족으로 농경지 및 주택 침수위험","3","송관택","시설8급","장창영","시설6급","건설과","749-6703","송관택","시설8급","749-8024","null","01086227536","이근주","이장","null","null","01036029176","null","2020/11/26 17:11:27.000000000","n20010356716","0","103100","2014","20151103","null","null","null","null","null","null","null","null","30","90","null","null","02","null","0","0","0","0","null","null","null","N","0","830","2","null","null","null","4615035026","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_201126172010011010_69362","035","4615035000","null"
"458002015013","모항","2","001","null","5280000000","일원","null","null","모항마을유수지","010","지방관리","19","기타","20150108","내수배제 불량에 따른 침수위험","20180409","사업 완료","2","150","25","- 서해안과 인접하여 만조와 집중호우가 동시 발생 시 홍수량을 저류시킬 수 있는 유수지 저류용량과 방류수문 통수단면 부족으로 인한 자연배제 불가
 - 우수관로 용량 부족에 의한 침수피해 발생","4","김봉규","안전총괄과 시설7급","임규현","안전총괄과 시설6급","안전총괄과","063-580-4577","허하람","안전총괄과 시설8급","063-580-3643","null","010-8524-1784","이춘희","이장","null","null","010-4550-9859","null","2023/11/21 09:00:47.000000000","n20070374738","0","19000","2014","20140423","null","null","null","null","null","null","null","null","16","35","null","null","02","20130923","0","0","9000","2","null","null","null","N","0","71","1","null","null","전라북도 부안군 변산면 모항해변길  4 , 일원  ","5280036021","Y","null","null","null","458002015013","null","458002015013","null","null","P","I","null","null","null","IF_MPS_MPSS_010_231121091010009010_38697","038","4580036000","4580036021"
"427802015003","학사2지구","1","001","null","5178025300","null","001","행정안전부","학사2지구","012","지방1급하천","-1","null","20141203","자연재해로 인한 침수위험","20190222","정비완료","0","0","0","홍수위 상승 시 내수배제 능력 부족","4","null","null","null","null","null","null","이주영","시설7급","null","null","null","null","null","null","null","null","null","2019/04/29 16:55:49.000000000","n16070202210","0","53106","2015","20151103","null","null","null","null","null","null","null","null","214","350","null","null","02","20061004","0","0","0","0","null","null","null","N","0","304","21","null","null"," [지점번호:다아92672789]","5178025321","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_190429170510005010_71652","038","4278025300","4278025321"
"427802015004","상사2지구","1","002","null","5178025600","null","001","행정안전부","상사2지구","004","군도","-1","null","20150107","낙석 및 사면붕괴 인명피해 우려","20180605","정비완료","0","0","0","낙석 및 사면붕괴로 인한 인명피해 ","4","null","null","null","null","null","null","이주영","시설7급","null","null","null","null","null","null","null","null","null","2019/04/29 16:57:46.000000000","n16070202210","0","9593","2015","20151103","null","null","null","null","null","null","null","null","0","0","null","null","02","20150107","0","0","0","0","null","null","null","N","0","552","12","null","null","강원도 철원군 갈말읍 직탕길  32    ","5178025629","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_190429170510005010_71652","038","4278025600","4278025629"
"451902015032","정송지구","2","001","null","5219034000","null","001","행정안전부","옥률천","013","지방2급하천","null","null","20150202","내수배제불량 및 관로 통수단면부족","null","null","4","171","47","외수위 상승에 다른 내수배제 블량 및 기존 우수관의 통수능 부족","4","이영호","안전재난과 시설8급","성길경","안전재난과 시설6급","남원시","063-620-6962","박상근","주생면사무소 농업6급","063-620-3882","null","010-9573-3603","양문철","정충이장","063-626-7552","null","011-650-5487","null","2018/02/02 09:25:46.000000000","n16050172285","0","110000","2015","20151103","null","null","null","null","null","null","null","null","87","164","null","null","02","20131111","0","0","0","0","null","null","null","N","0","122","1","null","null","전라북도 남원시 주생면 정송1길  35-3   ","5219034024","Y","null","null","null","null","null","null","null","null","N","I","null","null","null","null","035","4519034000","4519034024"
"292002015012","산막","3","001","저수지정비","2920065000","일원","001","행정안전부","산막저수지","010","지방관리","19","기타","20131016","정밀안전진단결과 D등급 판정","null","null","0","0","0","저수지 붕괴에 의한 주택 및 농경지 침수","2","김민석","안전관리과 시설9급","윤성현","안전관리과장","광산구청","062-960-8673","김민석","안전관리과 시설9급","960-8673","null","010-9440-3999","김관","광산구 등임동","null","null","null","null","2016/03/29 10:49:45.000000000","2920001504","null","0","null","20151103","null","null","null","null","null","null","null","null","0","0"," ","null","00","null","0","0","0","0","null","null","null","N","1","31","5","null","null"," [지점번호:다라33358890]","2920012900","N","null","null","null","null","null","null","null","null","N","I","null","null","null","null","035","2920065000","2920012900"
